github link,name,dsecription,category
https://github.com/likec4/likec4,https://likec4.dev/,Software architecture with always actual and live diagrams from your code,dev-tools
https://github.com/lyogavin/airllm,AirLLM,AirLLM 70B inference with single 4GB GPU,dev-tools
https://github.com/h9zdev/WireTapper,WireTapper,Wireless OSINT & Signal Intelligence Platform,hardware
https://github.com/timoncool/videosos,VideoSOS,Open-Source AI Video Editor with 100+ Models,Video
https://github.com/schelskedevco/ignidash,Ignidash,AI-powered platform for planning long-term personal finances.,finance
https://github.com/Roboparty/roboto_origin,Roboto_origin, Fully Open-Source DIY Humanoid Robot,hardware
https://github.com/robot-learning-co/trlc-dk1,TRLC's Developer Kit 1,An Open Source Dev Kit for AI-native Robotics,hardware
https://github.com/Fincept-Corporation/FinceptTerminal,Fincept Terminal,"financial intelligence platform with CFA-level analytics, AI automation",finance
https://github.com/nyldn/claude-octopus,Claude Octopus,Multi-tentacled orchestrator for Claude Code ,claude code
https://github.com/Prat011/awesome-llm-skills,Awesome LLM Skills,"List of Skills, resources, and tools for customizing AI workflows",CLI Tools
https://github.com/koala73/worldmonitor,World Monitor,"News aggregation, geopolitical monitoring, and infrastructure tracking",Data
https://github.com/theNetworkChuck/claude-phone,Claude Phone,Voice interface for Claude Code via SIP/3CX.,claude code
https://github.com/FareedKhan-dev/production-grade-agentic-system,Agentic system,Production-Grade Agentic AI System,Agentic Ai
https://github.com/BrianRWagner/ai-marketing-skills,AI Marketing Skills,Marketing frameworks for claude code,claude code
https://github.com/informatici/openhospital,Open Hospital,Health Information Management System ,Health
https://github.com/L1AD/claude-task-viewer,Claude Task Viewer,A real-time Kanban board for observing Claude Code tasks,claude code
https://github.com/elliot35/deterministic-agent-control-protocol,Self-Evolving Deterministic Agent Control Protocol,A governance gateway for AI agents ,Agentic Ai
https://github.com/EvoAgentX/Awesome-Self-Evolving-Agents,Awesome-Self-Evolving-Agents,A New Paradigm Bridging Foundation Models and Lifelong Agentic Systems,Agentic Ai
https://github.com/grikdotnet/ai-stenographer,AI Stenographer,A desktop speech recognition application,productivity
https://github.com/ancoleman/ai-design-components,https://github.com/ancoleman/ai-design-components,Full Stack development skills,claude code
https://github.com/sickn33/antigravity-awesome-skills,Antigravity Awesome Skills,The Ultimate Collection of 800+ Agentic Skills,CLI Tools
https://github.com/OpenCoworkAI/open-cowork,Open Cowork,Your Personal AI Agent Desktop App,productivity
https://github.com/ognjengt/founder-skills,Founder Skills,Skills that turn Claude into a Fortune 500 growth team.,claude code
https://github.com/virattt/dexter,Dexter,An autonomous agent for deep financial research,finance
https://github.com/commaai/openpilot,openpilot,operating system for robotics,hardware
https://github.com/The-Swarm-Corporation/AutoHedge,AutoHedge,Agent hedge fund that trades on your behalf,finance
